route_id,fare_per_km,avg_fare_per_km,fare_amount,trip_distance
48_170,18.478260869565215,9.78430453438638,17.0,0.92
48_170,24.28571428571429,9.78430453438638,17.0,0.7
48_170,19.259259259259256,9.78430453438638,15.6,0.81
48_170,17.171717171717173,9.78430453438638,17.0,0.99
48_170,18.4,9.78430453438638,18.4,1.0
48_170,21.9,9.78430453438638,21.9,1.0
48_186,21.4,9.554063575845408,10.7,0.5
48_186,20.8,9.554063575845408,15.6,0.75
48_186,21.70940170940171,9.554063575845408,25.4,1.17
48_186,20.98360655737705,9.554063575845408,12.8,0.61
48_186,22.28571428571429,9.554063575845408,15.6,0.7
48_186,22.28571428571429,9.554063575845408,15.6,0.7
48_186,20.238095238095237,9.554063575845408,17.0,0.84
48_186,30.46153846153846,9.554063575845408,19.8,0.65
48_186,21.9,9.554063575845408,21.9,1.0
48_186,20.21978021978022,9.554063575845408,18.4,0.91
48_186,150.0,9.554063575845408,3.0,0.02
48_186,30.384615384615383,9.554063575845408,7.9,0.26
48_186,21.4,9.554063575845408,10.7,0.5
48_186,21.08108108108108,9.554063575845408,15.6,0.74
48_186,30.104166666666668,9.554063575845408,28.9,0.96
48_186,19.814814814814813,9.554063575845408,10.7,0.54
48_186,21.85185185185185,9.554063575845408,17.7,0.81
48_186,31.05263157894737,9.554063575845408,17.7,0.57
48_186,21.28571428571429,9.554063575845408,14.9,0.7
48_200,5.283185840707964,4.047086780504441,59.7,11.3
48_209,8.457142857142857,5.880743142279262,29.6,3.5
48_209,8.215102974828374,5.880743142279262,35.9,4.37
48_209,10.578034682080926,5.880743142279262,36.6,3.46
48_209,8.539325842696629,5.880743142279262,38.0,4.45
48_209,8.093994778067884,5.880743142279262,31.0,3.83
48_220,5.066334991708126,4.092684051403222,61.1,12.06
48_223,7.032258064516129,5.172048765253293,43.6,6.2
48_223,6.642468239564429,5.172048765253293,36.6,5.51
48_232,9.025641025641027,5.866702155283413,35.2,3.9
48_232,7.963800904977377,5.866702155283413,35.2,4.42
48_232,8.507109004739336,5.866702155283413,35.9,4.22
